"filename", "language", "HTML", "Markdown", "JavaScript JSX", "JavaScript", "PostCSS", "XML", "JSON", "comment", "blank", "total"
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\NotFound\style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\SidebarAdmin\index.jsx", "JavaScript JSX", 0, 0, 48, 0, 0, 0, 0, 1, 12, 61
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\SidebarAdmin\style.css", "PostCSS", 0, 0, 0, 0, 72, 0, 0, 0, 12, 84
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\Sidebar\index.jsx", "JavaScript JSX", 0, 0, 121, 0, 0, 0, 0, 1, 30, 152
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\Sidebar\style.css", "PostCSS", 0, 0, 0, 0, 226, 0, 0, 30, 52, 308
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\url.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\index.css", "PostCSS", 0, 0, 0, 0, 59, 0, 0, 63, 12, 134
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\main.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\services\ScrollToTop.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 1, 3, 13
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\services\auth.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\services\getUserToken.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\services\hexToRGBA.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 1, 5, 21
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\services\protectedRoute.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 0, 0, 2, 6, 30
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\services\roleRoute.jsx", "JavaScript JSX", 0, 0, 31, 0, 0, 0, 0, 2, 8, 41
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\services\themeContext.jsx", "JavaScript JSX", 0, 0, 24, 0, 0, 0, 0, 2, 8, 34
"c:\Users\guilh\OneDrive\Documentos\Trylearn\client\vite.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 1, 2, 9
"Total", "-", 13, 7, 6566, 86, 2357, 102, 3842, 272, 1503, 14748
