Date : 2025-07-13 00:25:32
Directory : c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src
Total : 111 files,  9020 codes, 270 comments, 1477 blanks, all 10767 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Utilizador\style.css                    | PostCSS        |          9 |          0 |          2 |         11 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Video\create.jsx                        | JavaScript JSX |        150 |          3 |         23 |        176 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Video\edit.jsx                          | JavaScript JSX |        215 |          1 |         39 |        255 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Video\estatisticas.jsx                  | JavaScript JSX |         98 |          0 |         16 |        114 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Video\index.jsx                         | JavaScript JSX |        250 |          5 |         26 |        281 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\BackOffice\Tabelas\Video\style.css                         | PostCSS        |          6 |          0 |          2 |          8 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Anotacoes\index.jsx                            | JavaScript JSX |        104 |          0 |         11 |        115 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Anotacoes\style.css                            | PostCSS        |         38 |          0 |          7 |         45 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Auth\Login\index.jsx                           | JavaScript JSX |         67 |          0 |          8 |         75 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Auth\Login\style.css                           | PostCSS        |          0 |          0 |          1 |          1 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Auth\Register\index.jsx                        | JavaScript JSX |         73 |          0 |         12 |         85 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Auth\Register\style.css                        | PostCSS        |          0 |          0 |          1 |          1 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Disciplina\index.jsx                           | JavaScript JSX |        206 |          2 |         28 |        236 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Disciplina\style.css                           | PostCSS        |        141 |          0 |         31 |        172 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Home\SearchForm.jsx                            | JavaScript JSX |         41 |          3 |          9 |         53 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Home\SearchResults.jsx                         | JavaScript JSX |        218 |         10 |         39 |        267 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Home\index.jsx                                 | JavaScript JSX |         49 |          0 |          8 |         57 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Home\style.css                                 | PostCSS        |         92 |          1 |         24 |        117 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Home\videoSection.jsx                          | JavaScript JSX |         59 |          4 |         12 |         75 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Home\videoSection.module.css                   | PostCSS        |         72 |          0 |         12 |         84 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Perfil\EditPerfil\index.jsx                    | JavaScript JSX |        144 |          2 |         22 |        168 |
